Serial Number:20294701 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-31 22:28:39,88.29, , , , , 
2018-01-31 22:33:39,87.83, , , , , 
2018-01-31 22:38:39,88.37, , , , , 
2018-01-31 22:43:39,87.98, , , , , 
2018-01-31 22:48:39,88.06, , , , , 
2018-01-31 22:53:39,88.37, , , , , 
2018-01-31 22:58:39,87.75, , , , , 
2018-01-31 23:03:39,88.37, , , , , 
2018-01-31 23:08:39,88.06, , , , , 
2018-01-31 23:13:39,88.06, , , , , 
2018-01-31 23:18:39,88.44, , , , , 
2018-01-31 23:23:39,87.83, , , , , 
2018-01-31 23:28:39,88.37, , , , , 
2018-01-31 23:33:39,88.06, , , , , 
2018-01-31 23:38:39,87.98, , , , , 
2018-01-31 23:43:39,88.44, , , , , 
2018-01-31 23:48:39,87.83, , , , , 
2018-01-31 23:53:39,88.13, , , , , 
2018-01-31 23:58:39,88.44, , , , , 
2018-02-01 00:03:39,87.75, , , , , 
2018-02-01 00:08:39,88.13, , , , , 
2018-02-01 00:13:39,88.44, , , , , 
2018-02-01 00:18:39,87.75, , , , , 
2018-02-01 00:23:39,87.90, , , , , 
2018-02-01 00:28:39,88.37, , , , , 
2018-02-01 00:33:39,88.21, , , , , 
2018-02-01 00:38:39,87.83, , , , , 
2018-02-01 00:43:39,88.21, , , , , 
2018-02-01 00:48:39,88.52, , , , , 
2018-02-01 00:53:39,87.75, , , , , 
2018-02-01 00:58:39,88.13, , , , , 
2018-02-01 01:03:39,88.37, , , , , 
2018-02-01 01:08:39,87.75, , , , , 
2018-02-01 01:13:39,88.29, , , , , 
2018-02-01 01:18:39,88.21, , , , , 
2018-02-01 01:23:39,87.90, , , , , 
2018-02-01 01:28:39,88.37, , , , , 
2018-02-01 01:33:39,87.98, , , , , 
2018-02-01 01:38:39,87.98, , , , , 
2018-02-01 01:43:39,88.44, , , , , 
2018-02-01 01:48:39,87.83, , , , , 
2018-02-01 01:53:39,88.06, , , , , 
2018-02-01 01:58:39,88.44, , , , , 
2018-02-01 02:03:39,87.75, , , , , 
2018-02-01 02:08:39,88.13, , , , , 
2018-02-01 02:13:39,88.29, , , , , 
2018-02-01 02:18:39,87.90, , , , , 
2018-02-01 02:23:39,88.37, , , , , 
2018-02-01 02:28:39,88.06, , , , , 
2018-02-01 02:33:39,88.06, , , , , 
2018-02-01 02:38:39,88.37, , , , , 
2018-02-01 02:43:39,87.83, , , , , 
2018-02-01 02:48:39,88.29, , , , , 
2018-02-01 02:53:39,88.21, , , , , 
2018-02-01 02:58:39,87.98, , , , , 
