Plot Title: 7B_H,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10257406, SEN S/N: 10257406)",Stopped (LGR S/N: 10257406),End Of File (LGR S/N: 10257406)
250,1/27/18 19:09,31.166,,
251,1/27/18 19:39,30.862,,
252,1/27/18 20:09,31.064,,
253,1/27/18 20:39,30.963,,
254,1/27/18 21:09,30.963,,
255,1/27/18 21:39,31.166,,
256,1/27/18 22:09,30.862,,
257,1/27/18 22:39,31.166,,
258,1/27/18 23:09,30.862,,
259,1/27/18 23:39,31.064,,
260,1/28/18 0:09,30.963,,
261,1/28/18 0:39,30.862,,
262,1/28/18 1:09,31.166,,
263,1/28/18 1:39,30.862,,
264,1/28/18 2:09,30.963,,
265,1/28/18 2:39,31.064,,
266,1/28/18 3:09,30.76,,
267,1/28/18 3:39,31.064,,
268,1/28/18 4:09,30.963,,
269,1/28/18 4:39,30.862,,
270,1/28/18 5:09,31.166,,
271,1/28/18 5:39,30.963,,
272,1/28/18 6:09,30.76,,
273,1/28/18 6:39,30.963,,
274,1/28/18 7:09,31.166,,
275,1/28/18 7:39,30.862,,
276,1/28/18 8:09,30.862,,
277,1/28/18 8:39,31.064,,
278,1/28/18 9:09,30.963,,
279,1/28/18 9:39,30.862,,
280,1/28/18 10:09,30.963,,
281,1/28/18 10:39,31.166,,
282,1/28/18 11:09,30.862,,
283,1/28/18 11:39,30.963,,
284,1/28/18 12:09,31.166,,
285,1/28/18 12:39,30.862,,
286,1/28/18 13:09,31.064,,
287,1/28/18 13:39,31.064,,
288,1/28/18 14:09,30.862,,
289,1/28/18 14:39,31.166,,
290,1/28/18 15:09,30.862,,
291,1/28/18 15:39,30.963,,
292,1/28/18 16:09,31.064,,
293,1/28/18 16:39,30.862,,
294,1/28/18 17:09,31.166,,
295,1/28/18 17:39,30.862,,
296,1/28/18 18:09,30.963,,
297,1/28/18 18:39,31.166,,
298,1/28/18 19:09,30.76,,
299,1/28/18 19:39,31.064,,
300,1/28/18 20:09,30.963,,
301,1/28/18 20:39,30.862,,
302,1/28/18 21:09,31.166,,
303,1/28/18 21:39,30.76,,
304,1/28/18 22:09,31.064,,
305,1/28/18 22:39,31.064,,
306,1/28/18 23:09,30.862,,
307,1/28/18 23:39,31.166,,
308,1/29/18 0:09,30.76,,
309,1/29/18 0:39,30.963,,
310,1/29/18 1:09,31.064,,
311,1/29/18 1:39,30.76,,
312,1/29/18 2:09,31.064,,
313,1/29/18 2:39,30.963,,
314,1/29/18 3:09,30.963,,
315,1/29/18 3:39,31.064,,
316,1/29/18 4:09,30.862,,
317,1/29/18 4:39,31.166,,
318,1/29/18 5:09,30.862,,
319,1/29/18 5:39,31.064,,
320,1/29/18 6:09,31.064,,
321,1/29/18 6:39,30.76,,
322,1/29/18 7:09,30.862,,
323,1/29/18 7:39,31.166,,
324,1/29/18 8:09,30.963,,
325,1/29/18 8:39,30.862,,
326,1/29/18 9:09,31.064,,
327,1/29/18 9:39,31.064,,
328,1/29/18 10:09,30.862,,
329,1/29/18 10:39,31.064,,
330,1/29/18 11:09,31.064,,
331,1/29/18 11:39,30.862,,
332,1/29/18 12:09,24.255,,
333,1/29/18 12:39,24.545,,
334,1/29/18 13:09,22.717,,
335,1/29/18 13:39,23.292,,
336,1/29/18 14:09,23.773,,
337,1/29/18 14:39,24.062,,
338,1/29/18 15:09,24.062,,
339,1/29/18 15:39,24.158,,
340,1/29/18 16:09,24.448,,
341,1/29/18 16:39,24.351,,
342,1/29/18 17:09,24.255,,
343,1/29/18 17:39,23.677,,
344,1/29/18 18:09,24.062,,
345,1/29/18 18:39,26.781,,
346,1/29/18 19:09,26.585,,
347,1/29/18 19:39,26.683,,
348,1/29/18 20:09,26.977,,
349,1/29/18 20:39,27.075,,
350,1/29/18 21:09,26.977,,
351,1/29/18 21:39,26.977,,
352,1/29/18 22:09,27.173,,
353,1/29/18 22:39,27.075,,
354,1/29/18 23:09,26.977,,
355,1/29/18 23:39,27.173,,
356,1/30/18 0:09,27.173,,
357,1/30/18 0:39,26.977,,
358,1/30/18 1:09,26.977,,
359,1/30/18 1:39,27.075,,
360,1/30/18 2:09,26.879,,
361,1/30/18 2:39,26.879,,
362,1/30/18 3:09,27.075,,
363,1/30/18 3:39,26.977,,
364,1/30/18 4:09,26.781,,
365,1/30/18 4:39,27.075,,
366,1/30/18 5:09,27.075,,
367,1/30/18 5:39,26.781,,
368,1/30/18 6:09,26.879,,
369,1/30/18 6:39,27.075,,
370,1/30/18 7:09,26.977,,
371,1/30/18 7:39,26.977,,
372,1/30/18 8:09,27.272,,
373,1/30/18 8:39,27.173,,
374,1/30/18 9:09,26.977,,
375,1/30/18 9:39,26.977,,
376,1/30/18 10:09,27.37,,
377,1/30/18 10:39,27.272,,
378,1/30/18 11:09,26.977,,
379,1/30/18 11:39,27.075,,
380,1/30/18 12:09,27.272,,
381,1/30/18 12:39,29.552,,
382,1/30/18 13:09,30.558,,
383,1/30/18 13:39,30.862,,
384,1/30/18 14:09,31.676,,
385,1/30/18 14:39,32.086,,
386,1/30/18 15:09,32.291,,
387,1/30/18 15:39,31.983,,
388,1/30/18 16:09,32.394,,
389,1/30/18 16:39,32.086,,
390,1/30/18 17:09,32.394,,
391,1/30/18 17:39,32.497,,
392,1/30/18 18:09,32.188,,
393,1/30/18 18:39,32.394,,
394,1/30/18 19:09,32.497,,
395,1/30/18 19:39,32.291,,
396,1/30/18 20:09,31.88,,
397,1/30/18 20:39,31.88,,
398,1/30/18 21:09,31.778,,
399,1/30/18 21:39,31.88,,
400,1/30/18 22:09,31.983,,
401,1/30/18 22:39,32.086,,
402,1/30/18 23:09,31.778,,
403,1/30/18 23:39,31.88,,
404,1/31/18 0:09,31.778,,
405,1/31/18 0:39,31.88,,
406,1/31/18 1:09,31.983,,
407,1/31/18 1:39,32.086,,
408,1/31/18 2:09,32.188,,
409,1/31/18 2:39,32.188,,
410,1/31/18 3:09,31.983,,
411,1/31/18 3:39,32.188,,
412,1/31/18 4:09,31.983,,
413,1/31/18 4:39,31.88,,
414,1/31/18 5:09,31.88,,
415,1/31/18 5:39,31.983,,
416,1/31/18 6:09,31.983,,
417,1/31/18 6:39,32.086,,
418,1/31/18 7:09,32.188,,
419,1/31/18 7:39,32.291,,
420,1/31/18 8:09,32.394,,
421,1/31/18 8:39,32.394,,
422,1/31/18 9:09,32.394,,
423,1/31/18 9:39,32.394,,
424,1/31/18 10:09,32.291,,
425,1/31/18 10:39,31.983,,
426,1/31/18 11:09,31.88,,
427,1/31/18 11:39,31.676,,
428,1/31/18 12:09,31.676,,
429,1/31/18 12:39,31.676,,
430,1/31/18 13:09,31.676,,
431,1/31/18 13:39,31.778,,
432,1/31/18 14:09,31.778,,
433,1/31/18 14:39,31.778,,
434,1/31/18 15:09,31.983,,
435,1/31/18 15:39,32.086,,
436,1/31/18 16:09,32.188,,
437,1/31/18 16:39,32.291,,
438,1/31/18 17:09,31.983,,
439,1/31/18 17:39,31.778,,
440,1/31/18 18:09,31.574,,
441,1/31/18 18:39,25.708,,
442,1/31/18 19:09,25.805,,
443,1/31/18 19:39,25.805,,
444,1/31/18 20:09,25.805,,
445,1/31/18 20:39,25.902,,
446,1/31/18 21:09,26,,
447,1/31/18 21:39,26,,
448,1/31/18 22:09,26,,
449,1/31/18 22:39,26,,
450,1/31/18 23:09,26.097,,
451,1/31/18 23:39,26.097,,
452,2/1/18 0:09,25.805,,
453,2/1/18 0:39,25.61,,
454,2/1/18 1:09,25.61,,
455,2/1/18 1:39,25.708,,
456,2/1/18 2:09,25.902,,
457,2/1/18 2:39,25.902,,
458,2/1/18 3:09,26,,
459,2/1/18 3:39,26,,
460,2/1/18 4:09,26,,
461,2/1/18 4:39,26.097,,
462,2/1/18 5:09,26.097,,
463,2/1/18 5:39,26,,
464,2/1/18 6:09,25.708,,
465,2/1/18 6:39,25.61,,
466,2/1/18 7:09,25.708,,
467,2/1/18 7:39,25.902,,
468,2/1/18 8:09,26.097,,
469,2/1/18 8:39,26.195,,
470,2/1/18 9:09,26.39,,
471,2/1/18 9:39,26.39,,
472,2/1/18 10:09,26.39,,
473,2/1/18 10:39,26.292,,
474,2/1/18 11:09,26.292,,
475,2/1/18 11:39,26.39,,
476,2/1/18 12:09,26.39,,
477,2/1/18 12:39,26.292,,
478,2/1/18 13:09,26.195,,
479,2/1/18 13:39,25.708,,
480,2/1/18 14:09,25.416,,
481,2/1/18 14:39,25.319,,
482,2/1/18 15:09,25.416,,
483,2/1/18 15:39,25.61,,
484,2/1/18 16:09,25.708,,
485,2/1/18 16:39,25.805,,
486,2/1/18 17:09,25.902,,
487,2/1/18 17:39,26,,
488,2/1/18 18:09,26.097,,
489,2/1/18 18:39,25.902,,
490,2/1/18 19:09,25.513,,
491,2/1/18 19:39,25.416,,
492,2/1/18 20:09,25.416,,
493,2/1/18 20:39,25.61,,
494,2/1/18 21:09,25.708,,
495,2/1/18 21:39,25.708,,
496,2/1/18 22:09,25.708,,
497,2/1/18 22:39,25.805,,
498,2/1/18 23:09,25.902,,
499,2/1/18 23:39,25.708,,
500,2/2/18 0:09,25.416,,
501,2/2/18 0:39,25.416,,
502,2/2/18 1:09,25.513,,
503,2/2/18 1:39,25.61,,
504,2/2/18 2:09,25.708,,
505,2/2/18 2:39,25.708,,
506,2/2/18 3:09,25.805,,
507,2/2/18 3:39,25.902,,
508,2/2/18 4:09,25.708,,
509,2/2/18 4:39,25.416,,
510,2/2/18 5:09,25.319,,
511,2/2/18 5:39,25.513,,
512,2/2/18 6:09,25.61,,
513,2/2/18 6:39,25.708,,
514,2/2/18 7:09,25.805,,
515,2/2/18 7:39,26,,
516,2/2/18 8:09,26.097,,
517,2/2/18 8:39,26.097,,
518,2/2/18 9:09,25.902,,
519,2/2/18 9:39,25.61,,
520,2/2/18 10:09,25.61,,
521,2/2/18 10:39,25.61,,
522,2/2/18 11:09,25.805,,
523,2/2/18 11:39,25.902,,
524,2/2/18 12:09,25.805,,
525,2/2/18 12:39,25.902,,
526,2/2/18 13:09,26,,
527,2/2/18 13:39,26,,
528,2/2/18 14:09,26,,
529,2/2/18 14:39,26,,
530,2/2/18 15:09,26.097,,
531,2/2/18 15:39,26,,
532,2/2/18 16:09,26,,
533,2/2/18 16:39,26.195,,
534,2/2/18 17:09,26.292,,
535,2/2/18 17:39,26.39,,
536,2/2/18 18:09,26.39,,
537,2/2/18 18:39,26.195,,
538,2/2/18 19:09,25.805,,
539,2/2/18 19:39,25.805,,
540,2/2/18 20:09,25.805,,
541,2/2/18 20:39,25.902,,
542,2/2/18 21:09,26,,
543,2/2/18 21:39,26,,
544,2/2/18 22:09,26,,
545,2/2/18 22:39,26,,
546,2/2/18 23:09,26.097,,
547,2/2/18 23:39,26.097,,
548,2/3/18 0:09,25.902,,
549,2/3/18 0:39,25.708,,
550,2/3/18 1:09,25.708,,
551,2/3/18 1:39,25.902,,
552,2/3/18 2:09,26,,
553,2/3/18 2:39,26,,
554,2/3/18 3:09,26,,
555,2/3/18 3:39,26.097,,
556,2/3/18 4:09,26.195,,
557,2/3/18 4:39,26,,
558,2/3/18 5:09,25.708,,
559,2/3/18 5:39,25.805,,
560,2/3/18 6:09,25.902,,
561,2/3/18 6:39,26,,
562,2/3/18 7:09,26.195,,
563,2/3/18 7:39,26.292,,
564,2/3/18 8:09,26.39,,
565,2/3/18 8:39,26.488,,
566,2/3/18 9:09,26.292,,
567,2/3/18 9:39,26.097,,
568,2/3/18 10:09,26,,
569,2/3/18 10:39,26.097,,
570,2/3/18 11:09,26.195,,
571,2/3/18 11:39,26.292,,
572,2/3/18 12:09,26.39,,
573,2/3/18 12:39,26.39,,
574,2/3/18 13:09,26.292,,
575,2/3/18 13:39,26.097,,
576,2/3/18 14:09,26.097,,
577,2/3/18 14:39,26.195,,
578,2/3/18 15:09,26.39,,
