"Plot Title: 7A_C"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10761949, SEN S/N: 10761949, LBL: Temp)","Stopped (LGR S/N: 10761949)","End Of File (LGR S/N: 10761949)"
491,02/01/18 07:23:27 PM,25.805,,
492,02/01/18 07:53:27 PM,25.902,,
493,02/01/18 08:23:27 PM,26.097,,
494,02/01/18 08:53:27 PM,26.292,,
495,02/01/18 09:23:27 PM,26.292,,
496,02/01/18 09:53:27 PM,26.292,,
497,02/01/18 10:23:27 PM,26.390,,
498,02/01/18 10:53:27 PM,26.488,,
499,02/01/18 11:23:27 PM,26.488,,
500,02/01/18 11:53:27 PM,26.000,,
501,02/02/18 12:23:27 AM,25.805,,
502,02/02/18 12:53:27 AM,25.902,,
503,02/02/18 01:23:27 AM,26.195,,
504,02/02/18 01:53:27 AM,26.195,,
505,02/02/18 02:23:27 AM,26.292,,
506,02/02/18 02:53:27 AM,26.390,,
507,02/02/18 03:23:27 AM,26.488,,
508,02/02/18 03:53:27 AM,26.488,,
509,02/02/18 04:23:27 AM,26.097,,
510,02/02/18 04:53:27 AM,25.805,,
511,02/02/18 05:23:27 AM,25.902,,
512,02/02/18 05:53:27 AM,26.097,,
513,02/02/18 06:23:27 AM,26.195,,
514,02/02/18 06:53:27 AM,26.292,,
515,02/02/18 07:23:27 AM,26.683,,
516,02/02/18 07:53:27 AM,26.781,,
517,02/02/18 08:23:27 AM,26.879,,
518,02/02/18 08:53:27 AM,26.683,,
519,02/02/18 09:23:27 AM,26.390,,
520,02/02/18 09:53:27 AM,26.097,,
521,02/02/18 10:23:27 AM,26.292,,
522,02/02/18 10:53:27 AM,26.390,,
523,02/02/18 11:23:27 AM,26.585,,
524,02/02/18 11:53:27 AM,26.585,,
525,02/02/18 12:23:27 PM,26.292,,
526,02/02/18 12:53:27 PM,26.195,,
527,02/02/18 01:23:27 PM,26.195,,
528,02/02/18 01:53:27 PM,26.195,,
529,02/02/18 02:23:27 PM,26.390,,
530,02/02/18 02:53:27 PM,26.195,,
531,02/02/18 03:23:27 PM,26.292,,
532,02/02/18 03:53:27 PM,26.097,,
533,02/02/18 04:23:27 PM,26.195,,
534,02/02/18 04:53:27 PM,26.390,,
535,02/02/18 05:23:27 PM,26.488,,
536,02/02/18 05:53:27 PM,26.683,,
537,02/02/18 06:23:27 PM,26.488,,
538,02/02/18 06:53:27 PM,26.195,,
539,02/02/18 07:23:27 PM,25.805,,
540,02/02/18 07:53:27 PM,25.805,,
541,02/02/18 08:23:27 PM,25.902,,
542,02/02/18 08:53:27 PM,26.000,,
543,02/02/18 09:23:27 PM,26.097,,
544,02/02/18 09:53:27 PM,26.195,,
545,02/02/18 10:23:27 PM,26.195,,
546,02/02/18 10:53:27 PM,26.195,,
547,02/02/18 11:23:27 PM,26.390,,
548,02/02/18 11:53:27 PM,26.195,,
549,02/03/18 12:23:27 AM,25.805,,
550,02/03/18 12:53:27 AM,25.708,,
551,02/03/18 01:23:27 AM,25.902,,
552,02/03/18 01:53:27 AM,26.097,,
553,02/03/18 02:23:27 AM,26.097,,
554,02/03/18 02:53:27 AM,26.195,,
555,02/03/18 03:23:27 AM,26.292,,
556,02/03/18 03:53:27 AM,26.390,,
557,02/03/18 04:23:27 AM,26.195,,
558,02/03/18 04:53:27 AM,25.902,,
559,02/03/18 05:23:27 AM,25.805,,
560,02/03/18 05:53:27 AM,25.902,,
561,02/03/18 06:23:27 AM,26.000,,
562,02/03/18 06:53:27 AM,26.097,,
563,02/03/18 07:23:27 AM,26.488,,
564,02/03/18 07:53:27 AM,26.585,,
565,02/03/18 08:23:27 AM,26.683,,
566,02/03/18 08:53:27 AM,26.585,,
567,02/03/18 09:23:27 AM,26.390,,
568,02/03/18 09:53:27 AM,26.097,,
569,02/03/18 10:23:27 AM,26.195,,
570,02/03/18 10:53:27 AM,26.390,,
571,02/03/18 11:23:27 AM,26.488,,
572,02/03/18 11:53:27 AM,26.585,,
573,02/03/18 12:23:27 PM,26.683,,
574,02/03/18 12:53:27 PM,26.585,,
575,02/03/18 01:23:27 PM,26.292,,
576,02/03/18 01:53:27 PM,26.195,,
577,02/03/18 02:23:27 PM,26.292,,
578,02/03/18 02:53:27 PM,26.488,,
579,02/03/18 03:23:27 PM,26.585,,
580,02/03/18 03:53:27 PM,26.683,,
581,02/03/18 04:23:27 PM,26.585,,
582,02/03/18 04:53:27 PM,26.292,,
583,02/03/18 05:23:27 PM,26.195,,
584,02/03/18 05:53:27 PM,26.292,,
585,02/03/18 06:23:27 PM,26.488,,
586,02/03/18 06:53:27 PM,26.683,,
587,02/03/18 07:23:27 PM,26.585,,
588,02/03/18 07:53:27 PM,26.585,,
589,02/03/18 08:23:27 PM,26.585,,
590,02/03/18 08:53:27 PM,26.683,,
