* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:17:21 PM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180622_NS_moteLH03.eds
* Experiment Name = NS_20180622_moteLH03
* Experiment Run End Time = 2018-06-22 12:19:42 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	EXPFAIL	CQCONF	HIGHSD	NOAMP
40	D4	false	25-30B-T1	C	UNKNOWN	VIC	NFQ-MGB	31.719	31.706	0.019								false	0.010	true	3	30	Amp		0.850	N	N	N	N
40	D4	false	25-30B-T1	D	UNKNOWN	FAM	NFQ-MGB	30.894	30.975	0.114								false	0.010	true	3	29	Amp		0.876	N	N	N	N
41	D5	false	21-23B-T1	Ssid	UNKNOWN	SYBR	None	22.211	21.897	0.444								false	0.010	true	3	21	Amp		0.608	N	Y	N	N
42	D6	false	21-23B-T1	Ssid	UNKNOWN	SYBR	None	21.584	21.897	0.444								false	0.010	true	3	20	Amp		0.462	N	Y	N	N
43	D7	false	21-23B-T1	C	UNKNOWN	VIC	NFQ-MGB	39.009	37.855	1.633								false	0.010	true	3	35	Inconclusive		0.000	N	Y	Y	N
43	D7	false	21-23B-T1	D	UNKNOWN	FAM	NFQ-MGB	26.725	26.562	0.230								false	0.010	true	3	25	Amp		0.511	N	Y	N	N
44	D8	false	21-23B-T1	C	UNKNOWN	VIC	NFQ-MGB	36.700	37.855	1.633								false	0.010	true	3	35	Inconclusive		0.671	N	Y	Y	N
44	D8	false	21-23B-T1	D	UNKNOWN	FAM	NFQ-MGB	26.400	26.562	0.230								false	0.010	true	3	25	Amp		0.501	N	Y	N	N
45	D9	false	NEC5	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
46	D10	false	NEC5	Ssid	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
47	D11	false	NEC5	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
47	D11	false	NEC5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
48	D12	false	NEC5	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
