* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-07-27 11:27:50 AM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180723_NS_moteLH06.eds
* Experiment Name = 20180723_NS_moteLH06
* Experiment Run End Time = 2018-07-23 13:52:33 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	THOLDFAIL	CQCONF	EXPFAIL	HIGHSD	NOAMP
45	D9	false	Sample 20	Ssid	UNKNOWN	SYBR	None	31.247	30.836	0.581								true	0.040	true	3	28	Amp		0.953	Y	N	N	Y	N
46	D10	false	Sample 20	Ssid	UNKNOWN	SYBR	None	30.425	30.836	0.581								true	0.040	true	3	27	Amp		0.970	Y	N	N	Y	N
47	D11	false	Sample 20	C	UNKNOWN	VIC	NFQ-MGB	36.489	37.125	0.898								true	0.040	true	3	33	Amp		0.801	Y	N	N	Y	N
47	D11	false	Sample 20	D	UNKNOWN	FAM	NFQ-MGB	32.178	32.199	0.030								true	0.126	true	3	27	Amp		0.955	N	N	N	N	N
48	D12	false	Sample 20	C	UNKNOWN	VIC	NFQ-MGB	37.760	37.125	0.898								true	0.040	true	3	35	Inconclusive		0.763	Y	Y	N	Y	N
48	D12	false	Sample 20	D	UNKNOWN	FAM	NFQ-MGB	32.220	32.199	0.030								true	0.126	true	3	27	Amp		0.959	N	N	N	N	N
49	E1	false	Sample 5	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
50	E2	false	Sample 5	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
51	E3	false	Sample 5	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
51	E3	false	Sample 5	D	UNKNOWN	FAM	NFQ-MGB	30.037	29.930	0.152								true	0.126	true	3	26	Amp		0.962	N	N	N	N	N
52	E4	false	Sample 5	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
52	E4	false	Sample 5	D	UNKNOWN	FAM	NFQ-MGB	29.822	29.930	0.152								true	0.126	true	3	25	Amp		0.967	N	N	N	N	N
53	E5	false	Sample 13	Ssid	UNKNOWN	SYBR	None	28.116	28.246	0.184								true	0.040	true	3	25	Amp		0.901	Y	N	N	N	N
54	E6	false	Sample 13	Ssid	UNKNOWN	SYBR	None	28.376	28.246	0.184								true	0.040	true	3	25	Amp		0.969	Y	N	N	N	N
55	E7	false	Sample 13	C	UNKNOWN	VIC	NFQ-MGB	35.756	36.237	0.680								true	0.040	true	3	33	Amp		0.855	Y	N	N	Y	N
55	E7	false	Sample 13	D	UNKNOWN	FAM	NFQ-MGB	31.902	31.911	0.013								true	0.126	true	3	27	Amp		0.959	N	N	N	N	N
56	E8	false	Sample 13	C	UNKNOWN	VIC	NFQ-MGB	36.718	36.237	0.680								true	0.040	true	3	33	Amp		0.818	Y	N	N	Y	N
56	E8	false	Sample 13	D	UNKNOWN	FAM	NFQ-MGB	31.920	31.911	0.013								true	0.126	true	3	27	Amp		0.961	N	N	N	N	N
57	E9	false	Sample 21	Ssid	UNKNOWN	SYBR	None	24.652	24.500	0.216								true	0.040	true	3	22	Amp		0.853	Y	N	N	N	N
58	E10	false	Sample 21	Ssid	UNKNOWN	SYBR	None	24.347	24.500	0.216								true	0.040	true	3	21	Amp		0.829	Y	N	N	N	N
59	E11	false	Sample 21	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
59	E11	false	Sample 21	D	UNKNOWN	FAM	NFQ-MGB	33.977	33.871	0.150								true	0.126	true	3	30	Amp		0.949	N	N	N	N	N
60	E12	false	Sample 21	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
60	E12	false	Sample 21	D	UNKNOWN	FAM	NFQ-MGB	33.765	33.871	0.150								true	0.126	true	3	29	Amp		0.957	N	N	N	N	N
61	F1	false	Sample 6	Ssid	UNKNOWN	SYBR	None	26.746	26.163	0.825								true	0.040	true	3	24	Amp		0.934	Y	N	N	Y	N
62	F2	false	Sample 6	Ssid	UNKNOWN	SYBR	None	25.580	26.163	0.825								true	0.040	true	3	22	Amp		0.847	Y	N	N	Y	N
